check	type	field	expected	source	line	status
sizeof	bdSequenceNumber		4	src\bd\bd_types.h	1281	COMPILE_ASSERT_PRESENT
sizeof	bdMessageFrame		0x0C	src\bd\bd_types.h	1319	COMPILE_ASSERT_PRESENT
sizeof	bdReliableSendWindow		0x628	src\bd\bd_types.h	1355	COMPILE_ASSERT_PRESENT
sizeof	bdReliableReceiveWindow		0x21C	src\bd\bd_types.h	1384	COMPILE_ASSERT_PRESENT
sizeof	bdUnreliableSendWindow		0x14	src\bd\bd_types.h	1403	COMPILE_ASSERT_PRESENT
sizeof	bdUnreliableReceiveWindow		0x14	src\bd\bd_types.h	1421	COMPILE_ASSERT_PRESENT
sizeof	bdConnection		0x64	src\bd\bd_types.h	1496	COMPILE_ASSERT_PRESENT
offsetof	bdConnection	m_addr	0x08	src\bd\bd_types.h	1497	COMPILE_ASSERT_PRESENT
offsetof	bdConnection	m_stats	0x10	src\bd\bd_types.h	1498	COMPILE_ASSERT_PRESENT
offsetof	bdConnection	m_listeners	0x50	src\bd\bd_types.h	1499	COMPILE_ASSERT_PRESENT
offsetof	bdConnection	m_maxTransmissionRate	0x5C	src\bd\bd_types.h	1500	COMPILE_ASSERT_PRESENT
offsetof	bdConnection	m_status	0x60	src\bd\bd_types.h	1501	COMPILE_ASSERT_PRESENT
sizeof	bdLoopbackConnection		0x74	src\bd\bd_types.h	1527	COMPILE_ASSERT_PRESENT
sizeof	bdReceivedMessage		0x08	src\bd\bd_types.h	1545	COMPILE_ASSERT_PRESENT
sizeof	bdDispatcher		0x0C	src\bd\bd_types.h	1562	COMPILE_ASSERT_PRESENT
sizeof	bdAddressMapImpl		0x04	src\bd\bdAddressMap.h	33	COMPILE_ASSERT_PRESENT
sizeof	bdConnectionStore		0x60	src\bd\bdConnectionStore.h	57	COMPILE_ASSERT_PRESENT
sizeof	bdDiscoveryServer		0x1C	src\bd\bdDiscovery.h	55	COMPILE_ASSERT_PRESENT
sizeof	bdDiscoveryClient		0x40	src\bd\bdDiscovery.h	85	COMPILE_ASSERT_PRESENT
sizeof	bdGameInfo		0x28	src\bd\bdGameInfo.h	52	COMPILE_ASSERT_PRESENT
sizeof	bdGameInfoFactoryImpl		4	src\bd\bdGameInfo.h	76	COMPILE_ASSERT_PRESENT
sizeof	bdAddrHandleHashmapWrapper		0x04	src\bd\bdHashMap.h	35	COMPILE_ASSERT_PRESENT
