object	checklist_file	inventory_file	plan_file	manifest_rows	verified	port_status_only	external	in_progress	unresolved_engine	untracked
base.obj	analysis/base_obj_checklist.tsv	analysis/base_obj_inventory.tsv	analysis/base_obj_plan.tsv	86	0	0	86	0	0	0
baseio.obj	analysis/baseio_obj_checklist.tsv	analysis/baseio_obj_inventory.tsv	analysis/baseio_obj_plan.tsv	23	0	0	23	0	0	0
bdAddr.obj	analysis/bdAddr_obj_checklist.tsv	analysis/bdAddr_obj_inventory.tsv	analysis/bdAddr_obj_plan.tsv	19	10	9	0	0	0	0
bdAddressMap-xbox.obj	analysis/bdAddressMap-xbox_obj_checklist.tsv	analysis/bdAddressMap-xbox_obj_inventory.tsv	analysis/bdAddressMap-xbox_obj_plan.tsv	7	4	3	0	0	0	0
bdAlignedOffsetMemory.obj	analysis/bdAlignedOffsetMemory_obj_checklist.tsv	analysis/bdAlignedOffsetMemory_obj_inventory.tsv	analysis/bdAlignedOffsetMemory_obj_plan.tsv	4	3	1	0	0	0	0
bdBitBuffer.obj	analysis/bdBitBuffer_obj_checklist.tsv	analysis/bdBitBuffer_obj_inventory.tsv	analysis/bdBitBuffer_obj_plan.tsv	41	20	21	0	0	0	0
bdBitOperations.obj	analysis/bdBitOperations_obj_checklist.tsv	analysis/bdBitOperations_obj_inventory.tsv	analysis/bdBitOperations_obj_plan.tsv	4	0	4	0	0	0	0
bdByteBuffer.obj	analysis/bdByteBuffer_obj_checklist.tsv	analysis/bdByteBuffer_obj_inventory.tsv	analysis/bdByteBuffer_obj_plan.tsv	5	4	1	0	0	0	0
bdBytePacker.obj	analysis/bdBytePacker_obj_checklist.tsv	analysis/bdBytePacker_obj_inventory.tsv	analysis/bdBytePacker_obj_plan.tsv	11	0	11	0	0	0	0
bdChunk.obj	analysis/bdChunk_obj_checklist.tsv	analysis/bdChunk_obj_inventory.tsv	analysis/bdChunk_obj_plan.tsv	9	7	2	0	0	0	0
bdCommonAddr-xbox.obj	analysis/bdCommonAddr-xbox_obj_checklist.tsv	analysis/bdCommonAddr-xbox_obj_inventory.tsv	analysis/bdCommonAddr-xbox_obj_plan.tsv	28	9	19	0	0	0	0
bdConnection.obj	analysis/bdConnection_obj_checklist.tsv	analysis/bdConnection_obj_inventory.tsv	analysis/bdConnection_obj_plan.tsv	35	16	19	0	0	0	0
bdConnectionListener.obj	analysis/bdConnectionListener_obj_checklist.tsv	analysis/bdConnectionListener_obj_inventory.tsv	analysis/bdConnectionListener_obj_plan.tsv	5	1	4	0	0	0	0
bdConnectionStatistics.obj	analysis/bdConnectionStatistics_obj_checklist.tsv	analysis/bdConnectionStatistics_obj_inventory.tsv	analysis/bdConnectionStatistics_obj_plan.tsv	16	9	7	0	0	0	0
bdConnectionStore.obj	analysis/bdConnectionStore_obj_checklist.tsv	analysis/bdConnectionStore_obj_inventory.tsv	analysis/bdConnectionStore_obj_plan.tsv	87	20	67	0	0	0	0
bdCookie.obj	analysis/bdCookie_obj_checklist.tsv	analysis/bdCookie_obj_inventory.tsv	analysis/bdCookie_obj_plan.tsv	12	11	1	0	0	0	0
bdCookieAckChunk.obj	analysis/bdCookieAckChunk_obj_checklist.tsv	analysis/bdCookieAckChunk_obj_inventory.tsv	analysis/bdCookieAckChunk_obj_plan.tsv	8	6	2	0	0	0	0
bdCookieEchoChunk.obj	analysis/bdCookieEchoChunk_obj_checklist.tsv	analysis/bdCookieEchoChunk_obj_inventory.tsv	analysis/bdCookieEchoChunk_obj_plan.tsv	14	6	8	0	0	0	0
bdCore.obj	analysis/bdCore_obj_checklist.tsv	analysis/bdCore_obj_inventory.tsv	analysis/bdCore_obj_plan.tsv	12	9	3	0	0	0	0
bdDataChunk.obj	analysis/bdDataChunk_obj_checklist.tsv	analysis/bdDataChunk_obj_inventory.tsv	analysis/bdDataChunk_obj_plan.tsv	20	12	8	0	0	0	0
bdDiscoveryClient.obj	analysis/bdDiscoveryClient_obj_checklist.tsv	analysis/bdDiscoveryClient_obj_inventory.tsv	analysis/bdDiscoveryClient_obj_plan.tsv	35	15	20	0	0	0	0
bdDiscoveryListener.obj	analysis/bdDiscoveryListener_obj_checklist.tsv	analysis/bdDiscoveryListener_obj_inventory.tsv	analysis/bdDiscoveryListener_obj_plan.tsv	7	6	1	0	0	0	0
bdDiscoveryServer.obj	analysis/bdDiscoveryServer_obj_checklist.tsv	analysis/bdDiscoveryServer_obj_inventory.tsv	analysis/bdDiscoveryServer_obj_plan.tsv	9	7	2	0	0	0	0
bdDispatchInterceptor.obj	analysis/bdDispatchInterceptor_obj_checklist.tsv	analysis/bdDispatchInterceptor_obj_inventory.tsv	analysis/bdDispatchInterceptor_obj_plan.tsv	4	4	0	0	0	0	0
bdDispatcher.obj	analysis/bdDispatcher_obj_checklist.tsv	analysis/bdDispatcher_obj_inventory.tsv	analysis/bdDispatcher_obj_plan.tsv	17	6	11	0	0	0	0
bdGameInfo.obj	analysis/bdGameInfo_obj_checklist.tsv	analysis/bdGameInfo_obj_inventory.tsv	analysis/bdGameInfo_obj_plan.tsv	19	11	8	0	0	0	0
bdGameInfoFactory.obj	analysis/bdGameInfoFactory_obj_checklist.tsv	analysis/bdGameInfoFactory_obj_inventory.tsv	analysis/bdGameInfoFactory_obj_plan.tsv	6	1	5	0	0	0	0
bdHMac.obj	analysis/bdHMac_obj_checklist.tsv	analysis/bdHMac_obj_inventory.tsv	analysis/bdHMac_obj_plan.tsv	1	0	1	0	0	0	0
