source_cpp	lib	obj	class	funcs	status	notes
render_xboxr:cdSimpleInstance.o	render_xboxr	cdSimpleInstance.o	engine	7	PORTED	cdSimpleInstance.h/.cpp (simple instance: Init/Toggle/Create/Destroy; Add/Finalize/Render deferred)
render_xboxr:cdDebugShader.o	render_xboxr	cdDebugShader.o	engine	7	PORTED	cdDebugShader.h/.cpp (debug shader: mat ctor/Init/Toggle/Register/AddNode; GetSortInfo+Render deferred)
render_xboxr:cdSimpleUVAnimShader.o	render_xboxr	cdSimpleUVAnimShader.o	engine	7	PORTED	cdSimpleUVAnimShader.h/.cpp (UV anim shader: mat ctor/Init/Toggle/Register/AddNode; SetTextureMatrix+Render deferred)
render_xboxr:cdWheelMarkShader.o	render_xboxr	cdWheelMarkShader.o	engine	7	PORTED	cdWheelMarkShader.h/.cpp (wheel mark shader: mat ctor/Init/Toggle(empty)/VertexDefBuilder/Register/AddNode; Render deferred)
render_xboxr:cdFlagShader.o	render_xboxr	cdFlagShader.o	engine	7	PORTED	cdFlagShader.h/.cpp (flag shader: mat ctor/Init+FlagSinTable/Toggle/Register/AddNode; CalculateFlagMatrix+Render deferred)
render_xboxr:cdSimpleSpecularShader.o	render_xboxr	cdSimpleSpecularShader.o	engine	7	PORTED	cdSimpleSpecularShader.h/.cpp (specular shader: mat ctor/Init/Toggle/Register/AddNode; GetEyePos+Render deferred)
aeps_xboxr:apsGroupMgr.o	aeps_xboxr	apsGroupMgr.o	engine	7	PORTED	apsGroupMgr.cpp (group manager singleton: CreateGroup/DestroyGroup/DestroyAllGroups/TestAlloc/Report/ctor/dtor over apsMemory::PoolAllocator<apsGroup>)
aeps_xboxr:apsActionList.o	aeps_xboxr	apsActionList.o	engine	7	PORTED	apsActionList.cpp (Apply/EnhancePFD/Fixup/ctor/dtor/Add + anon GetVisibleParticleUpdateDelay; g_updateLOD static table; apsEffect.h minimal views; apsArray push_back/push_front
nsl_xboxr:nslListener.o	nsl_xboxr	nslListener.o	engine	7	PORTED	Phase 3: nsl.cpp (audio subsystem stubs)
nsl_xboxr:nslInit.o	nsl_xboxr	nslInit.o	engine	7	PORTED	Phase 3: nsl.cpp (audio subsystem stubs)
nsl_xboxr:nslPriority.o	nsl_xboxr	nslPriority.o	engine	7	PORTED	Phase 3: nsl.cpp (audio subsystem stubs)
ngl_xboxr:ngl_scenedump.o	ngl_xboxr	ngl_scenedump.o	engine	7	TODO	
ngl_xboxr:ngl_morph.o	ngl_xboxr	ngl_morph.o	engine	7	TODO	
nal_xboxr:nal_cache.o	nal_xboxr	nal_cache.o	engine	7	PORTED	Phase 2/3: nal.cpp (animation engine types + stubs)
phys_xboxr:rigid_body.o	phys_xboxr	rigid_body.o	engine	7	PORTED	[phys_xboxr] rigid_body.cpp: body setup + forces (7 funcs)
bdCore:bdRandom.obj	bdCore	bdRandom.obj	engine	7	PORTED	Phase 2: ported from Demonware 2.3.4 source, verified against COD3 decompilation
bdCore:bdStopwatch.obj	bdCore	bdStopwatch.obj	engine	7	PORTED	Phase 2: ported from Demonware 2.3.4 source, verified against COD3 decompilation
bdConnection:bdChunk.obj	bdConnection	bdChunk.obj	engine	7	PORTED	[bdConnection] bdChunk.cpp: packet chunk base (7 funcs)
bdSocket:bdAddressMap-xbox.obj	bdSocket	bdAddressMap-xbox.obj	engine	7	TODO	
mem_mp_xboxr:ae_heap.o	mem_mp_xboxr	ae_heap.o	engine	6	PORTED	Phase 2: mem_heap.cpp (malloc wrappers, dlmalloc stubs, ae_heap)
render_xboxr:cdScratchShader.o	render_xboxr	cdScratchShader.o	engine	6	PORTED	cdScratchShader.h/.cpp (scratch shader: material ctor/Toggle/Register/Init/AddNode; Render deferred) + add as_u32 to ShaderSwitching_t
render_xboxr:cdSimpleAlphaShader.o	render_xboxr	cdSimpleAlphaShader.o	engine	6	PORTED	cdSimpleAlphaShader.h/.cpp (simple alpha shader: mat ctor/Init/Toggle/Register/AddNode; Render deferred)
